twitts,sentiment
@robbiebronniman Sounds like a great night. ,1
Damn the person who stolde my wallet !!!!!  May karma come back and bite you in the ass.... ,1
Greetings from the piano bench  (photo) http://twitpic.com/6oe8i,1
@drewryanscott i love it!! i love you!! haha forget a hug...you should give me a kiss...no lie!! please it would be awesome if you did ,1
"@kissthestars Pretty pretty pretty please, pakidownload ito then reupload someother site like mediafire. hindi mgwork ang MU skin. ",0
Really upset  http://myloc.me/5x1T,0
@lilyroseallen big pool or paddling pool?! might be able to manage a paddle pool in my surroundings but that's as luxury as it will get!! ,1
"@arianna_skye  Hee!   I did tweet...  And you're 10,001!!! LOL ",1
is happy to have Tickets for the Concerts ,1
"@mileycyrus http://twitpic.com/78urd - Miley, u look soooo much better like this...  its soooo laid back!",1
must.go.to.bed.early! ,0
Shhhh...Quitely Now...Come See... I found a HOLE in the FENCE   http://bit.ly/s9pMO,1
uh oh.. the sound is messed up on cable ,0
The Festï¿½s on ,1
What? I'm not the best? ,0
k finally made to the hammock and this is the innagual tweet YAHOOOOOOOOO  Peace and harmony.,1
"@mitchelmusso Not allowed to call as I live in the UK, my parents say it will cost to much  Sucks !!",0
@sandysaikman I do! It sucks! Makes me sad  and u know how I love to talk. So it SUCKS!,0
My favourite is Silver Hook which is very nutty but out of stock right now  http://bit.ly/2mgQTv,0
FINALLY leaving hell  my car sounds awful...ugh.,0
Just realised Ive spent Â£475 on clothes today. ,0
Singing a Duo with an Aussie Koala  www.marcopalli.com http://twitpic.com/68slg,1
@mahafreed Im running out of battery .. 20% now. Wont last for long  anyway im planning to get out soon and get more daru...,0
@zidman8 It was really nice meeting you too ,1
is leaving for work in a minute ,0
@truejerseygirl I went as a kid in Scotland on the North Sea. They were catching cod and whacking them on the head. Cried the whole time. ,0
Back at work but must eat first. Leftover Chinese is calling me ,1
@Ri_Guy that is so bad. thats what happend to tara i was so so excited and then it was a no go  im so sorry,0
is getting ready for a fun day of laying out in the sun before the new schedule kicks in Sunday  ,1
